Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,30.280001,30.549999,29.900000,30.020000,28.843462,206500
2018-11-22,30.350000,30.490000,29.900000,30.299999,29.112480,104000
2018-11-23,30.299999,30.299999,29.820000,29.910000,28.737780,116200
2018-11-26,30.100000,30.320000,29.250000,29.490000,28.334236,113400
2018-11-27,29.770000,30.230000,29.469999,30.209999,29.026018,105600
2018-11-28,30.219999,30.799999,30.000000,30.790001,29.583286,349800
2018-11-29,30.750000,31.000000,30.549999,30.900000,29.688971,303300
2018-11-30,30.930000,31.299999,30.660000,30.860001,29.650545,255400
2018-12-03,31.330000,31.490000,30.379999,30.580000,29.395805,203000
2018-12-04,30.780001,30.850000,29.990000,30.410000,29.232386,120900
2018-12-05,30.410000,30.520000,30.150000,30.320000,29.145870,96800
2018-12-06,30.190001,30.469999,29.750000,30.469999,29.290062,500500
2018-12-07,30.469999,30.730000,30.059999,30.320000,29.145870,379600
2018-12-10,30.389999,30.450001,29.580000,29.600000,28.453749,387600
2018-12-11,29.860001,30.040001,29.290001,29.820000,28.665230,108800
2018-12-12,29.900000,30.200001,29.750000,29.959999,28.799814,212200
2018-12-13,30.000000,30.559999,29.799999,30.559999,29.376579,105700
2018-12-14,30.559999,30.559999,30.160000,30.440001,29.261225,167600
2018-12-17,30.330000,30.360001,29.860001,29.860001,28.703688,697700
2018-12-18,30.080000,30.129999,29.809999,29.910000,28.761961,289200
2018-12-19,30.129999,30.299999,29.680000,29.680000,28.540789,503400
2018-12-20,30.040001,30.040001,29.480000,29.799999,28.656179,116400
2018-12-21,30.150000,30.150000,29.250000,29.299999,28.175371,600800
2018-12-26,29.290001,29.290001,28.559999,29.000000,27.886885,154900
2018-12-27,28.969999,29.629999,28.900000,29.490000,28.358078,79600
2018-12-28,29.510000,30.299999,29.510000,30.049999,28.906977,309300
2019-01-02,30.049999,32.270000,30.049999,31.959999,30.759680,976900
2019-01-03,31.309999,32.299999,31.309999,32.250000,31.038790,283000
2019-01-04,32.250000,32.400002,31.629999,31.709999,30.519070,336400
2019-01-07,31.950001,32.299999,31.900000,32.119999,30.913671,222800
2019-01-08,32.119999,32.290001,31.709999,32.200001,30.990667,266600
2019-01-09,32.389999,32.570000,32.189999,32.500000,31.279400,260900
2019-01-10,32.500000,32.759998,32.299999,32.500000,31.279400,154600
2019-01-11,32.500000,32.580002,32.049999,32.130001,30.923292,126700
2019-01-14,32.349998,32.500000,32.200001,32.500000,31.279400,112400
2019-01-15,32.500000,32.500000,31.690001,32.060001,30.855925,155000
2019-01-16,32.070000,32.119999,31.620001,31.990000,30.788551,137600
2019-01-17,32.099998,32.130001,31.620001,31.910000,30.711555,99800
2019-01-18,32.000000,32.459999,31.950001,32.299999,31.086912,148900
2019-01-21,32.299999,32.330002,31.370001,32.090000,30.884800,102500
2019-01-22,32.080002,32.200001,31.709999,31.990000,30.788551,94700
2019-01-23,31.990000,32.290001,31.770000,32.259998,31.048409,104400
2019-01-24,32.200001,32.330002,31.959999,32.200001,30.990667,159600
2019-01-28,31.500000,32.650002,31.440001,32.410000,31.192785,316800
2019-01-29,32.650002,32.720001,32.220001,32.299999,31.086912,328500
2019-01-30,32.490002,32.560001,31.750000,32.250000,31.038790,356700
2019-01-31,32.439999,33.000000,32.000000,32.869999,31.635506,1899300
2019-02-01,32.759998,32.990002,32.400002,32.700001,31.486254,381800
2019-02-04,32.700001,33.470001,32.430000,33.430000,32.189152,538500
2019-02-05,32.700001,32.820000,32.020000,32.410000,31.207024,4911000
2019-02-06,32.590000,32.680000,31.200001,31.200001,30.041931,738800
2019-02-07,31.410000,31.840000,31.200001,31.510000,30.340425,913800
2019-02-08,31.639999,32.480000,31.500000,32.439999,31.235909,714700
2019-02-11,32.459999,32.500000,31.600000,31.980000,30.792976,1303200
2019-02-12,32.189999,32.660000,31.940001,32.500000,31.293678,632300
2019-02-13,32.500000,32.680000,31.799999,31.799999,30.619659,552700
2019-02-14,32.009998,32.689999,31.570000,32.689999,31.476625,460700
2019-02-15,32.689999,32.720001,32.200001,32.610001,31.399597,414600
2019-02-18,32.610001,32.610001,31.990000,32.139999,30.947041,11606700
2019-02-19,32.400002,32.980000,32.330002,32.799999,31.582542,365000
2019-02-20,32.900002,33.360001,32.509998,32.509998,31.303312,605300
2019-02-21,32.750000,33.369999,32.560001,33.369999,32.131382,876100
2019-02-22,31.799999,32.049999,31.650000,31.950001,31.470842,2763000
2019-02-25,32.070000,32.110001,31.600000,31.600000,31.126093,272800
2019-02-26,31.820000,31.820000,31.500000,31.549999,31.076838,240600
